Conformation,Pocket_Center_X,Pocket_Center_Y,Pocket_Center_Z,Pocket_Center_Displacement_A,Pocket_Mean_Radius_A,Pocket_Max_Radius_A,Pocket_Radius_of_Gyration_A
0,0.9023448064409453,10.167758596354517,-5.2625172097107455,0.0,6.761744090500897,9.867579729095993,7.1056313508506115
1,0.9526795666140389,10.254265895227906,-5.270166490754146,0.10037734973854247,6.841002374058257,10.01704642788962,7.17818676211395
2,1.0219282680897743,10.191272554994601,-5.2112334117777195,0.13222381964411709,6.914068809618035,10.15629131984921,7.259991617065285
3,1.0436910658270684,10.11821021825697,-5.172385590474051,0.1748070810944888,6.932300880238349,10.175910461966433,7.284033355239997
4,1.0480531755647755,10.071565110856207,-5.152387056827336,0.20642859796831217,6.940826815490174,10.168736541617548,7.293827679122687
5,1.0401341616763873,10.050525056726515,-5.148348166633082,0.21392564041549214,6.935768259223065,10.142122828304691,7.287931664421515
6,1.0314160990123835,10.044693765973069,-5.150515812642296,0.21059122486029883,6.927405430518918,10.118755541938837,7.27868707118086
7,1.0299224697869416,10.043887446955031,-5.150960735784488,0.20991657560381916,6.925959249017267,10.116691921847574,7.277091845520072
8,1.0377331313719211,10.048700586969353,-5.148861779220575,0.21312523315243348,6.933479066138015,10.13560955053658,7.285398261656607
9,1.0466652345900778,10.086406703508283,-5.158750212720049,0.19548428610832447,6.937268173075791,10.170646057296441,7.290033631064351
10,0.9633240027196346,10.246792462530156,-5.2619508706524005,0.09982552339653765,6.852507962087948,10.039529970227777,7.190757354477657
11,0.8550513251720427,10.297396621383383,-5.335819894781662,0.15625611841628115,6.730170359199112,9.813706773698293,7.062676694513462
12,0.8171603555679083,10.301314012125902,-5.3564077708866735,0.18414363206567574,6.684329360336912,9.787571419573826,7.017953115850959
13,0.7891046298524935,10.29732852737748,-5.369023889894219,0.20237435001201118,6.649255733919832,9.770354716638126,6.985137885786097
14,0.7620659809209569,10.28288275835145,-5.377135704225511,0.21463718421931155,6.614512162316818,9.756722567570487,6.954237154401846
15,0.7586823069431077,10.242075097051767,-5.3632678662008075,0.19055852334920387,6.605861782199309,9.762665570134475,6.949907777562827
16,0.7628136464367351,10.197897672370434,-5.344327322097775,0.1645302495105144,6.612544737393233,9.776668362506712,6.958855162383816
17,0.7735310801026614,10.156515128923914,-5.323134671412085,0.14280710177064249,6.631942902505411,9.796125994840958,6.978397102138643
18,0.7983413074936755,10.126421065696686,-5.2991486422564815,0.11775984495792556,6.664517771770753,9.820068613371275,7.0098346601532695
19,0.819507645982579,10.106180230770649,-5.280758884072356,0.10481721683149514,6.691518334456302,9.83937741986019,7.035972818149491
20,0.8422134339237136,10.08810648210809,-5.262420404414725,0.0998010552849881,6.719732328968802,9.859413890561232,7.063504769048554
