Search_Term,Search_Category,PubChem_Total_Matches,CID,Search_Status,Search_Error
PNPLA3,PNPLA3_specific,2,171524039,Success,
PNPLA3,PNPLA3_specific,2,171523990,Success,
PNPLA3 inhibitor,PNPLA3_specific,0,,Success,
PNPLA3 small molecule,PNPLA3_specific,0,,Success,
patatin phospholipase inhibitor,enzyme_context,3,71236597,Success,
patatin phospholipase inhibitor,enzyme_context,3,56593118,Success,
patatin phospholipase inhibitor,enzyme_context,3,46829239,Success,
lipid droplet lipase inhibitor,lipid_metabolism,0,,Success,
hepatic lipid metabolism small molecule,hepatic_metabolism,0,,Success,
MASLD small molecule,MASLD_context,10,178421513,Success,
MASLD small molecule,MASLD_context,10,178421512,Success,
MASLD small molecule,MASLD_context,10,178421509,Success,
MASLD small molecule,MASLD_context,10,172966180,Success,
MASLD small molecule,MASLD_context,10,154642729,Success,
MASLD small molecule,MASLD_context,10,117902000,Success,
MASLD small molecule,MASLD_context,10,89084603,Success,
MASLD small molecule,MASLD_context,10,58462682,Success,
MASLD small molecule,MASLD_context,10,57861407,Success,
MASLD small molecule,MASLD_context,10,374536,Success,
