Step20_Rank,CID,Step20_Class,Combined_Screening_Score,Matched_Features,Ligand_Features,Feature_Match_Percent,Feature_Types_Matched,Shape_Compatibility,Shape_Score,Volume_Ratio,Ligand_Volume_Estimate,Conformer_ID,IUPACName,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,IsomericSMILES,InChIKey
1,56593118,HIGH_COMPATIBILITY,60.0,12,28,42.857142857142854,Acceptor->Donor;Hydrophobe->Hydrophobic,Compatible,1.0,0.7440048296181142,447.9786999999997,5,(4-tert-butylpiperidin-1-yl)-[4-[hydroxy(diphenyl)methyl]triazol-2-yl]methanone,C25H30N4O2,418.5,4.9,71.3,1.0,4.0,4.0,CC(C)(C)C1CCN(CC1)C(=O)N2N=CC(=N2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,LPTMHNPBMQCQPG-UHFFFAOYSA-N
2,117902000,HIGH_COMPATIBILITY,56.666666666666664,8,21,38.095238095238095,Hydrophobe->Hydrophobic,Compatible,1.0,0.6489962100452067,390.7722999999998,7,6-[3-[2-[(3R)-3-hydroxy-1-methyl-2-oxopyrrolidin-3-yl]ethynyl]phenyl]-4-methoxypyridine-2-carboxamide,C20H19N3O4,365.4,0.9,106.0,2.0,5.0,5.0,CN1CC[C@](C1=O)(C#CC2=CC(=CC=C2)C3=NC(=CC(=C3)OC)C(=O)N)O,LQSHXYHWYGKAMX-FQEVSTJZSA-N
3,374536,HIGH_COMPATIBILITY,54.70588235294118,6,17,35.294117647058826,Hydrophobe->Hydrophobic,Compatible,1.0,0.49768766255119395,299.6666999999998,0,[5-[5-[5-(hydroxymethyl)thiophen-2-yl]furan-2-yl]thiophen-2-yl]methanol,C14H12O3S2,292.4,2.0,110.0,2.0,5.0,4.0,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,KZENBFUSKMWCJF-UHFFFAOYSA-N
4,89084603,HIGH_COMPATIBILITY,54.347826086956516,8,23,34.78260869565217,Hydrophobe->Hydrophobic,Compatible,1.0,0.7723225347855401,465.02929999999986,9,"methyl (1S,3R)-2-(2-chloroacetyl)-1-(4-methoxycarbonylphenyl)-1,3,4,4a,9,9a-hexahydropyrido[3,4-b]indole-3-carboxylate",C23H23ClN2O5,442.9,3.4,84.9,1.0,6.0,6.0,COC(=O)[C@H]1CC2C([C@@H](N1C(=O)CCl)C3=CC=C(C=C3)C(=O)OC)NC4=CC=CC=C24,CKRZDIUOUCGSBK-YBKKDXPLSA-N
5,171523990,HIGH_COMPATIBILITY,53.33333333333332,5,15,33.33333333333333,Acceptor->Donor;Hydrophobe->Hydrophobic,Compatible,1.0,0.6912229828704669,416.1977999999998,1,"(4-chlorophenyl) (5R)-3,3-difluoro-5-[(5R)-5-methyl-1,1-dioxo-1,2-thiazolidin-2-yl]piperidine-1-carboxylate",C16H19ClF2N2O4S,408.8,3.0,75.3,0.0,7.0,3.0,C[C@@H]1CCN(S1(=O)=O)[C@@H]2CC(CN(C2)C(=O)OC3=CC=C(C=C3)Cl)(F)F,LWZQGRRGKYWBQG-DGCLKSJQSA-N
6,171524039,HIGH_COMPATIBILITY,53.33333333333332,5,15,33.33333333333333,Acceptor->Donor;Hydrophobe->Hydrophobic,Compatible,1.0,0.6912229828704669,416.1977999999998,0,"(4-chlorophenyl) (5R)-5-(1,1-dioxothiazinan-2-yl)-3,3-difluoropiperidine-1-carboxylate",C16H19ClF2N2O4S,408.8,3.0,75.3,0.0,7.0,3.0,C1CCS(=O)(=O)N(C1)[C@@H]2CC(CN(C2)C(=O)OC3=CC=C(C=C3)Cl)(F)F,ZBDZZTVKBGVOPB-CYBMUJFWSA-N
7,71236597,HIGH_COMPATIBILITY,50.588235294117645,5,17,29.411764705882355,Acceptor->Donor;Hydrophobe->Hydrophobic,Compatible,1.0,0.8185561634098296,492.8673999999998,1,"8-[[3,5-difluoro-4-[[6-(trifluoromethyl)-3-pyridinyl]oxy]phenyl]methoxy]-1-methyl-3,4-dihydro-2H-pyrimido[1,2-c]pyrimidin-6-one",C21H17F5N4O3,468.4,3.4,67.3,0.0,10.0,5.0,CN1CCCN2C1=CC(=NC2=O)OCC3=CC(=C(C(=C3)F)OC4=CN=C(C=C4)C(F)(F)F)F,QJIGPJZJKXZSNF-UHFFFAOYSA-N
8,57861407,HIGH_COMPATIBILITY,50.0,6,21,28.57142857142857,Hydrophobe->Hydrophobic,Compatible,1.0,0.8784416011479473,528.9254999999998,10,1-(2-ethoxyethyl)-6-oxo-N-[5-[3-pyridin-3-yl-5-(trifluoromethyl)pyrazol-1-yl]-2-pyridinyl]pyridine-3-carboxamide,C24H21F3N6O3,498.5,1.9,102.0,1.0,9.0,8.0,CCOCCN1C=C(C=CC1=O)C(=O)NC2=NC=C(C=C2)N3C(=CC(=N3)C4=CN=CC=C4)C(F)(F)F,KMESAVNRPDKZCQ-UHFFFAOYSA-N
9,46829239,MODERATE_COMPATIBILITY,50.0,2,7,28.57142857142857,Hydrophobe->Hydrophobic,Compatible,1.0,0.29284758137109346,176.32880000000006,0,pyrrolidin-1-yl(triazol-1-yl)methanone,C7H10N4O,166.18,0.1,51.0,0.0,3.0,0.0,C1CCN(C1)C(=O)N2C=CN=N2,IFXGAMVQLDJRBQ-UHFFFAOYSA-N
10,154642729,MODERATE_COMPATIBILITY,49.74350193605201,7,21,33.33333333333333,Acceptor->Donor;Hydrophobe->Hydrophobic,Large,0.8803389534239565,1.0223334960921298,615.565400000001,3,"N-[(S)-(4,4-difluorocyclohexyl)-[7-[(1S)-2-methoxy-1-[(4S)-2-oxo-4-(trifluoromethyl)imidazolidin-1-yl]ethyl]imidazo[1,2-b]pyridazin-2-yl]methyl]-4-methyl-1,2,5-oxadiazole-3-carboxamide",C24H27F5N8O4,586.5,1.8,140.0,2.0,13.0,8.0,CC1=NON=C1C(=O)N[C@@H](C2CCC(CC2)(F)F)C3=CN4C(=N3)C=C(C=N4)[C@@H](COC)N5C[C@H](NC5=O)C(F)(F)F,MVWVCLAORBNXSD-UWVAXJGDSA-N
