Docking_Rank,CID,IUPACName,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Number_of_Poses,Best_Pose_Number,Best_Vina_Score_kcal_mol,Best_Pose_RMSD_LB,Best_Pose_RMSD_UB,Docking_Score_Class,Docking_Status,Receptor,Pocket_ID,Box_Center_X,Box_Center_Y,Box_Center_Z,Box_Size_X,Box_Size_Y,Box_Size_Z,Exhaustiveness,Num_Modes,Energy_Range,Seed,Step20_Screening_Score
1,71236597,"8-[[3,5-difluoro-4-[[6-(trifluoromethyl)-3-pyridinyl]oxy]phenyl]methoxy]-1-methyl-3,4-dihydro-2H-pyrimido[1,2-c]pyrimidin-6-one",468.4,3.4,67.3,0.0,10.0,5.0,9,1,-10.262,0.0,0.0,STRONGER_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,50.588235294117645
2,57861407,1-(2-ethoxyethyl)-6-oxo-N-[5-[3-pyridin-3-yl-5-(trifluoromethyl)pyrazol-1-yl]-2-pyridinyl]pyridine-3-carboxamide,498.5,1.9,102.0,1.0,9.0,8.0,6,1,-9.341,0.0,0.0,STRONGER_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,50.0
3,171523990,"(4-chlorophenyl) (5R)-3,3-difluoro-5-[(5R)-5-methyl-1,1-dioxo-1,2-thiazolidin-2-yl]piperidine-1-carboxylate",408.8,3.0,75.3,0.0,7.0,3.0,10,1,-8.432,0.0,0.0,STRONGER_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,53.33333333333332
4,171524039,"(4-chlorophenyl) (5R)-5-(1,1-dioxothiazinan-2-yl)-3,3-difluoropiperidine-1-carboxylate",408.8,3.0,75.3,0.0,7.0,3.0,10,1,-8.277,0.0,0.0,STRONGER_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,53.33333333333332
5,117902000,6-[3-[2-[(3R)-3-hydroxy-1-methyl-2-oxopyrrolidin-3-yl]ethynyl]phenyl]-4-methoxypyridine-2-carboxamide,365.4,0.9,106.0,2.0,5.0,5.0,10,1,-7.175,0.0,0.0,INTERMEDIATE_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,56.66666666666666
6,56593118,(4-tert-butylpiperidin-1-yl)-[4-[hydroxy(diphenyl)methyl]triazol-2-yl]methanone,418.5,4.9,71.3,1.0,4.0,4.0,8,1,-7.134,0.0,0.0,INTERMEDIATE_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,60.0
7,89084603,"methyl (1S,3R)-2-(2-chloroacetyl)-1-(4-methoxycarbonylphenyl)-1,3,4,4a,9,9a-hexahydropyrido[3,4-b]indole-3-carboxylate",442.9,3.4,84.9,1.0,6.0,6.0,5,1,-6.615,0.0,0.0,INTERMEDIATE_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,54.34782608695652
8,374536,[5-[5-[5-(hydroxymethyl)thiophen-2-yl]furan-2-yl]thiophen-2-yl]methanol,292.4,2.0,110.0,2.0,5.0,4.0,10,1,-6.466,0.0,0.0,INTERMEDIATE_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,54.70588235294118
9,46829239,pyrrolidin-1-yl(triazol-1-yl)methanone,166.18,0.1,51.0,0.0,3.0,0.0,10,1,-5.855,0.0,0.0,WEAKER_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,50.0
10,154642729,"N-[(S)-(4,4-difluorocyclohexyl)-[7-[(1S)-2-methoxy-1-[(4S)-2-oxo-4-(trifluoromethyl)imidazolidin-1-yl]ethyl]imidazo[1,2-b]pyridazin-2-yl]methyl]-4-methyl-1,2,5-oxadiazole-3-carboxamide",586.5,1.8,140.0,2.0,13.0,8.0,10,1,-4.689,0.0,0.0,WEAKER_SCREENING_SCORE,SUCCESS,D166V,1,2.195,8.933,-5.502,20.0,20.0,20.0,16,10,4.0,20260910,49.74350193605201
