CID,Pose_Number,Vina_Score_kcal_mol,RMSD_LB,RMSD_UB,Receptor,Pocket_ID
71236597,1,-10.262,0.0,0.0,D166V,1
71236597,2,-9.655,7.245,11.894,D166V,1
71236597,3,-9.493,7.532,11.238,D166V,1
71236597,4,-9.474,5.184,7.531,D166V,1
71236597,5,-9.231,2.581,4.177,D166V,1
71236597,6,-8.342,4.776,8.476,D166V,1
71236597,7,-7.515,5.044,7.705,D166V,1
71236597,8,-7.235,3.553,9.227,D166V,1
71236597,9,-7.023,5.471,7.757,D166V,1
57861407,1,-9.341,0.0,0.0,D166V,1
57861407,2,-7.941,3.884,11.74,D166V,1
57861407,3,-7.836,4.394,12.213,D166V,1
57861407,4,-7.778,1.295,1.652,D166V,1
57861407,5,-7.675,7.107,12.363,D166V,1
57861407,6,-7.643,1.202,2.518,D166V,1
171523990,1,-8.432,0.0,0.0,D166V,1
171523990,2,-7.644,4.142,7.128,D166V,1
171523990,3,-7.6,4.034,5.253,D166V,1
171523990,4,-6.669,4.017,6.995,D166V,1
171523990,5,-6.591,3.809,6.809,D166V,1
171523990,6,-6.432,8.132,11.134,D166V,1
171523990,7,-5.988,5.178,7.573,D166V,1
171523990,8,-5.928,2.321,3.266,D166V,1
171523990,9,-5.913,8.543,11.4,D166V,1
171523990,10,-5.539,4.033,7.011,D166V,1
171524039,1,-8.277,0.0,0.0,D166V,1
171524039,2,-8.092,2.022,2.72,D166V,1
171524039,3,-7.847,1.436,1.738,D166V,1
171524039,4,-7.372,3.29,4.355,D166V,1
171524039,5,-7.328,2.087,2.986,D166V,1
171524039,6,-7.118,3.124,4.55,D166V,1
171524039,7,-6.478,3.139,4.701,D166V,1
171524039,8,-6.454,3.59,6.295,D166V,1
171524039,9,-6.395,2.659,3.488,D166V,1
171524039,10,-6.226,3.913,5.393,D166V,1
117902000,1,-7.175,0.0,0.0,D166V,1
117902000,2,-6.869,1.212,2.746,D166V,1
117902000,3,-6.797,1.625,3.23,D166V,1
117902000,4,-6.748,6.655,9.878,D166V,1
117902000,5,-6.563,6.489,9.779,D166V,1
117902000,6,-5.66,5.588,9.07,D166V,1
117902000,7,-5.567,5.669,9.23,D166V,1
117902000,8,-5.428,4.421,8.299,D166V,1
117902000,9,-5.415,4.871,8.254,D166V,1
117902000,10,-4.916,4.333,8.263,D166V,1
56593118,1,-7.134,0.0,0.0,D166V,1
56593118,2,-6.646,1.888,9.328,D166V,1
56593118,3,-6.611,1.72,9.018,D166V,1
56593118,4,-5.85,2.437,9.883,D166V,1
56593118,5,-4.068,1.961,9.539,D166V,1
56593118,6,-4.058,2.487,10.001,D166V,1
56593118,7,-3.655,6.489,10.197,D166V,1
56593118,8,-3.587,2.388,10.304,D166V,1
89084603,1,-6.615,0.0,0.0,D166V,1
89084603,2,-5.965,10.028,13.471,D166V,1
89084603,3,-5.321,3.652,6.66,D166V,1
89084603,4,-3.891,1.43,1.939,D166V,1
89084603,5,-2.682,2.554,4.34,D166V,1
374536,1,-6.466,0.0,0.0,D166V,1
374536,2,-6.291,0.28,7.677,D166V,1
374536,3,-5.764,2.551,3.026,D166V,1
374536,4,-5.616,2.166,8.152,D166V,1
374536,5,-5.2,1.587,7.901,D166V,1
374536,6,-5.189,13.754,14.912,D166V,1
374536,7,-5.179,4.74,6.624,D166V,1
374536,8,-5.128,13.483,15.915,D166V,1
374536,9,-5.029,1.837,2.674,D166V,1
374536,10,-4.976,3.504,8.67,D166V,1
46829239,1,-5.855,0.0,0.0,D166V,1
46829239,2,-5.756,1.611,2.008,D166V,1
46829239,3,-5.747,1.886,4.836,D166V,1
46829239,4,-5.548,4.153,6.719,D166V,1
46829239,5,-5.486,1.607,4.774,D166V,1
46829239,6,-5.478,2.44,3.328,D166V,1
46829239,7,-5.464,4.014,5.049,D166V,1
46829239,8,-5.438,2.115,4.935,D166V,1
46829239,9,-5.221,2.32,3.471,D166V,1
46829239,10,-5.104,2.65,4.864,D166V,1
154642729,1,-4.689,0.0,0.0,D166V,1
154642729,2,-4.329,1.681,2.159,D166V,1
154642729,3,-3.234,2.856,3.715,D166V,1
154642729,4,-3.082,3.103,10.733,D166V,1
154642729,5,-2.93,2.487,3.227,D166V,1
154642729,6,-2.453,2.468,10.458,D166V,1
154642729,7,-2.201,4.203,6.892,D166V,1
154642729,8,-1.829,4.801,8.34,D166V,1
154642729,9,-1.803,3.472,11.033,D166V,1
154642729,10,-1.409,4.018,11.325,D166V,1
