CID,Pose_Number,WT_Vina_Score_kcal_mol,WT_RMSD_LB,WT_RMSD_UB
71236597,1,-9.296,0.0,0.0
71236597,2,-8.814,7.283,11.836
71236597,3,-8.719,7.363,11.291
71236597,4,-8.715,4.855,7.252
71236597,5,-8.451,5.105,8.366
71236597,6,-8.421,7.253,11.945
71236597,7,-8.353,7.052,11.06
71236597,8,-7.63,4.933,8.523
71236597,9,-7.612,5.414,8.579
71236597,10,-7.505,7.689,11.1
89084603,1,-6.06,0.0,0.0
89084603,2,-5.879,10.293,14.01
89084603,3,-5.771,2.606,5.343
89084603,4,-5.606,6.678,13.282
89084603,5,-4.468,9.545,13.352
89084603,6,-2.417,8.594,12.212
89084603,7,-2.264,8.5,12.125
117902000,1,-6.784,0.0,0.0
117902000,2,-6.698,6.484,9.873
117902000,3,-6.647,1.213,2.714
117902000,4,-6.185,6.667,9.882
117902000,5,-5.68,6.452,10.811
117902000,6,-5.491,6.289,12.474
117902000,7,-5.449,1.655,2.323
117902000,8,-5.41,3.984,5.936
117902000,9,-5.225,7.945,12.347
117902000,10,-5.149,3.758,6.119
171523990,1,-8.311,0.0,0.0
171523990,2,-8.059,4.011,5.214
171523990,3,-7.594,4.111,7.091
171523990,4,-7.52,4.688,7.389
171523990,5,-7.274,8.244,11.236
171523990,6,-7.188,4.013,6.832
171523990,7,-6.858,3.843,6.928
171523990,8,-6.63,3.482,5.043
171523990,9,-6.298,2.991,5.064
171523990,10,-6.189,3.939,6.646
57861407,1,-9.301,0.0,0.0
57861407,2,-7.847,4.395,12.224
57861407,3,-7.758,3.973,11.329
57861407,4,-7.265,7.046,12.463
57861407,5,-5.432,1.789,2.46
374536,1,-6.481,0.0,0.0
374536,2,-6.317,0.27,7.675
374536,3,-5.78,12.148,13.454
374536,4,-5.697,2.553,3.028
374536,5,-5.626,2.577,8.213
374536,6,-5.584,2.171,7.944
374536,7,-5.504,2.133,3.741
374536,8,-5.298,2.451,8.148
374536,9,-5.274,1.768,7.924
374536,10,-5.247,12.646,14.193
56593118,1,-7.204,0.0,0.0
56593118,2,-6.568,1.734,9.113
56593118,3,-5.66,2.401,9.925
56593118,4,-4.577,2.302,10.02
56593118,5,-3.623,6.282,10.133
171524039,1,-8.371,0.0,0.0
171524039,2,-7.904,1.866,2.537
171524039,3,-7.578,1.305,1.883
171524039,4,-7.297,4.011,5.472
171524039,5,-7.181,2.963,4.407
171524039,6,-6.978,3.731,6.567
171524039,7,-6.354,3.478,5.697
171524039,8,-6.308,2.904,3.979
171524039,9,-6.246,4.489,7.748
171524039,10,-6.05,2.623,3.588
46829239,1,-5.964,0.0,0.0
46829239,2,-5.863,2.086,2.383
46829239,3,-5.747,4.313,6.87
46829239,4,-5.745,1.62,2.029
46829239,5,-5.741,1.881,4.844
46829239,6,-5.592,2.22,2.972
46829239,7,-5.531,1.541,4.757
46829239,8,-5.503,2.795,3.342
46829239,9,-5.356,3.027,4.38
46829239,10,-5.348,2.598,3.484
154642729,1,-6.008,0.0,0.0
154642729,2,-5.728,2.399,3.522
154642729,3,-5.41,2.398,10.123
154642729,4,-4.87,3.328,5.003
154642729,5,-4.349,3.195,10.375
154642729,6,-3.64,3.645,11.106
154642729,7,-3.542,3.86,11.35
154642729,8,-3.239,3.07,10.583
154642729,9,-3.176,5.747,11.923
154642729,10,-3.037,6.671,11.743
