Lead_Rank,CID,Lead_Class,Downstream_Tier,Lead_Priority_Score,Lead_Priority_Percent,IUPAC_Name,Molecular_Formula,MW,XLogP,TPSA,HBD,HBA,RotB,Drug_Likeness_Class,Chemical_Filter_Score,Step20_Class,Step20_Score,Matched_Features,Ligand_Features,Feature_Match_Percent,Feature_Types_Matched,Shape_Compatibility,Shape_Score,Volume_Ratio,Step21_D166V_Vina,D166V_Vina,WT_Vina,Delta_D166V_minus_WT,Differential_Docking_Class,Docking_Normalized,Pharmacophore_Normalized,Mutation_Preference_Normalized,Drug_Likeness_Normalized,Docking_Consistency,Retain_for_Step20,Ligand_Volume_Estimate,Conformer_ID
1,71236597,TOP_LEAD,MD_AND_INTERACTION_ANALYSIS,0.7135005593253162,71.35005593253162,"8-[[3,5-difluoro-4-[[6-(trifluoromethyl)-3-pyridinyl]oxy]phenyl]methoxy]-1-methyl-3,4-dihydro-2H-pyrimido[1,2-c]pyrimidin-6-one",C21H17F5N4O3,468.4,3.4,67.3,0.0,10.0,5.0,PASS,100.0,HIGH_COMPATIBILITY,50.588235294117645,5,17,29.411764705882355,Acceptor->Donor;Hydrophobe->Hydrophobic,Compatible,1.0,0.8185561634098296,-10.262,-10.262,-9.296,-0.9660000000000012,SIMILAR_DOCKING_SCORE,1.0,0.0823607973012645,0.7415000000000003,0.9084268000000001,True,True,492.8673999999998,1
2,56593118,PRIORITY_LEAD,INTERACTION_ANALYSIS,0.6826413646509959,68.2641364650996,(4-tert-butylpiperidin-1-yl)-[4-[hydroxy(diphenyl)methyl]triazol-2-yl]methanone,C25H30N4O2,418.5,4.9,71.3,1.0,4.0,4.0,PASS,100.0,HIGH_COMPATIBILITY,60.0,12,28,42.85714285714285,Acceptor->Donor;Hydrophobe->Hydrophobic,Compatible,1.0,0.7440048296181142,-7.134,-7.134,-7.204,0.0699999999999994,SIMILAR_DOCKING_SCORE,0.4387224116274897,1.0,0.48250000000000015,0.923887,True,True,447.9786999999997,5
3,117902000,PRIORITY_LEAD,INTERACTION_ANALYSIS,0.6352249199798123,63.522491997981234,6-[3-[2-[(3R)-3-hydroxy-1-methyl-2-oxopyrrolidin-3-yl]ethynyl]phenyl]-4-methoxypyridine-2-carboxamide,C20H19N3O4,365.4,0.9,106.0,2.0,5.0,5.0,PASS,100.0,HIGH_COMPATIBILITY,56.66666666666666,8,21,38.095238095238095,Hydrophobe->Hydrophobic,Compatible,1.0,0.6489962100452067,-7.175,-7.175,-6.784,-0.391,SIMILAR_DOCKING_SCORE,0.44607931096357434,0.6750027823775303,0.59775,0.9919,True,True,390.7722999999998,7
4,171523990,PRIORITY_LEAD,INTERACTION_ANALYSIS,0.6345508425542776,63.455084255427764,"(4-chlorophenyl) (5R)-3,3-difluoro-5-[(5R)-5-methyl-1,1-dioxo-1,2-thiazolidin-2-yl]piperidine-1-carboxylate",C16H19ClF2N2O4S,408.8,3.0,75.3,0.0,7.0,3.0,PASS,100.0,HIGH_COMPATIBILITY,53.33333333333332,5,15,33.33333333333333,Acceptor->Donor;Hydrophobe->Hydrophobic,Compatible,1.0,0.6912229828704669,-8.432,-8.432,-8.311,-0.1210000000000004,SIMILAR_DOCKING_SCORE,0.6716310784137807,0.35000556475506134,0.5302500000000001,0.9942976,True,True,416.1977999999998,1
5,171524039,PRIORITY_LEAD,INTERACTION_ANALYSIS,0.615363275265564,61.5363275265564,"(4-chlorophenyl) (5R)-5-(1,1-dioxothiazinan-2-yl)-3,3-difluoropiperidine-1-carboxylate",C16H19ClF2N2O4S,408.8,3.0,75.3,0.0,7.0,3.0,PASS,100.0,HIGH_COMPATIBILITY,53.33333333333332,5,15,33.33333333333333,Acceptor->Donor;Hydrophobe->Hydrophobic,Compatible,1.0,0.6912229828704669,-8.277,-8.277,-8.371,0.0940000000000012,SIMILAR_DOCKING_SCORE,0.6438184101919969,0.35000556475506134,0.4764999999999997,0.9942976,True,True,416.1977999999998,0
6,57861407,PRIORITY_LEAD,INTERACTION_ANALYSIS,0.5932170546998897,59.32170546998897,1-(2-ethoxyethyl)-6-oxo-N-[5-[3-pyridin-3-yl-5-(trifluoromethyl)pyrazol-1-yl]-2-pyridinyl]pyridine-3-carboxamide,C24H21F3N6O3,498.5,1.9,102.0,1.0,9.0,8.0,PASS,100.0,HIGH_COMPATIBILITY,50.0,6,21,28.57142857142857,Hydrophobe->Hydrophobic,Compatible,1.0,0.8784416011479473,-9.341,-9.341,-9.301,-0.0399999999999991,SIMILAR_DOCKING_SCORE,0.8347389197918533,0.025008347132593752,0.5099999999999998,0.8828469999999999,True,True,528.9254999999998,10
7,89084603,SECONDARY,BACKUP,0.5380200332464158,53.802003324641575,"methyl (1S,3R)-2-(2-chloroacetyl)-1-(4-methoxycarbonylphenyl)-1,3,4,4a,9,9a-hexahydropyrido[3,4-b]indole-3-carboxylate",C23H23ClN2O5,442.9,3.4,84.9,1.0,6.0,6.0,PASS,100.0,HIGH_COMPATIBILITY,54.34782608695652,8,23,34.78260869565217,Hydrophobe->Hydrophobic,Compatible,1.0,0.7723225347855401,-6.615,-6.615,-6.06,-0.5550000000000006,SIMILAR_DOCKING_SCORE,0.34559483222680787,0.4489177614227705,0.6387500000000002,0.9587007999999999,True,True,465.0292999999999,9
8,374536,SECONDARY,BACKUP,0.5202380004885149,52.023800048851484,[5-[5-[5-(hydroxymethyl)thiophen-2-yl]furan-2-yl]thiophen-2-yl]methanol,C14H12O3S2,292.4,2.0,110.0,2.0,5.0,4.0,PASS,100.0,HIGH_COMPATIBILITY,54.70588235294118,6,17,35.294117647058826,Hydrophobe->Hydrophobic,Compatible,1.0,0.4976876625511939,-6.466,-6.466,-6.481,0.0149999999999996,SIMILAR_DOCKING_SCORE,0.318858783420061,0.48382794848196187,0.4962500000000001,0.9864999999999999,True,True,299.6666999999998,0
9,46829239,SECONDARY,BACKUP,0.36085380264534117,36.085380264534116,pyrrolidin-1-yl(triazol-1-yl)methanone,C7H10N4O,166.18,0.1,51.0,0.0,3.0,0.0,PASS,100.0,MODERATE_COMPATIBILITY,50.0,2,7,28.57142857142857,Hydrophobe->Hydrophobic,Compatible,1.0,0.2928475813710934,-5.855,-5.855,-5.964,0.1089999999999999,SIMILAR_DOCKING_SCORE,0.20922303965548184,0.025008347132593752,0.47275,1.0,True,True,176.32880000000006,0
10,154642729,SECONDARY,BACKUP,0.16027543333333333,16.027543333333334,"N-[(S)-(4,4-difluorocyclohexyl)-[7-[(1S)-2-methoxy-1-[(4S)-2-oxo-4-(trifluoromethyl)imidazolidin-1-yl]ethyl]imidazo[1,2-b]pyridazin-2-yl]methyl]-4-methyl-1,2,5-oxadiazole-3-carboxamide",C24H27F5N8O4,586.5,1.8,140.0,2.0,13.0,8.0,BORDERLINE,66.66666666666666,MODERATE_COMPATIBILITY,49.74350193605201,7,21,33.33333333333333,Acceptor->Donor;Hydrophobe->Hydrophobic,Large,0.8803389534239565,1.0223334960921298,-4.689,-4.689,-6.008,1.319,WT_PREFERRED,0.0,0.0,0.17025,0.6736896666666666,True,True,615.565400000001,3
