CID,Variant,Interaction_Type,Contact_Count
56593118,D166V,AROMATIC_PROXIMITY,14
56593118,D166V,HYDROPHOBIC_CONTACT,11
56593118,D166V,H_BOND_CANDIDATE,4
56593118,D166V,VAN_DER_WAALS_CONTACT,82
56593118,WT,AROMATIC_PROXIMITY,14
56593118,WT,HYDROPHOBIC_CONTACT,13
56593118,WT,H_BOND_CANDIDATE,4
56593118,WT,VAN_DER_WAALS_CONTACT,75
71236597,D166V,AROMATIC_PROXIMITY,7
71236597,D166V,HYDROPHOBIC_CONTACT,23
71236597,D166V,H_BOND_CANDIDATE,5
71236597,D166V,VAN_DER_WAALS_CONTACT,118
71236597,WT,AROMATIC_PROXIMITY,4
71236597,WT,HYDROPHOBIC_CONTACT,20
71236597,WT,H_BOND_CANDIDATE,8
71236597,WT,IONIC_CANDIDATE,1
71236597,WT,VAN_DER_WAALS_CONTACT,112
117902000,D166V,AROMATIC_PROXIMITY,1
117902000,D166V,HYDROPHOBIC_CONTACT,19
117902000,D166V,H_BOND_CANDIDATE,4
117902000,D166V,VAN_DER_WAALS_CONTACT,104
117902000,WT,AROMATIC_PROXIMITY,4
117902000,WT,HYDROPHOBIC_CONTACT,24
117902000,WT,H_BOND_CANDIDATE,1
117902000,WT,VAN_DER_WAALS_CONTACT,99
171523990,D166V,AROMATIC_PROXIMITY,6
171523990,D166V,HYDROPHOBIC_CONTACT,21
171523990,D166V,H_BOND_CANDIDATE,6
171523990,D166V,VAN_DER_WAALS_CONTACT,68
171523990,WT,AROMATIC_PROXIMITY,6
171523990,WT,HYDROPHOBIC_CONTACT,20
171523990,WT,H_BOND_CANDIDATE,6
171523990,WT,VAN_DER_WAALS_CONTACT,74
